y,Sb
0.0495,0.754061
0.0485,0.783068
0.0475,0.812469
0.0465,0.841107
0.0455,0.867564
0.0445,0.89043
0.0435,0.908781
0.0425,0.922558
0.0415,0.932452
0.0405,0.939448
0.0395,0.944442
0.0385,0.948098
0.0375,0.950867
0.0365,0.953042
0.0355,0.954811
0.0345,0.956298
0.0335,0.957585
0.0325,0.958727
0.0315,0.959762
0.0305,0.960719
0.0295,0.961616
0.0285,0.962469
0.0275,0.963288
0.0265,0.964082
0.0255,0.964858
0.0245,0.965621
0.0235,0.966375
0.0225,0.967124
0.0215,0.967872
0.0205,0.968622
0.0195,0.969376
0.0185,0.970136
0.0175,0.970905
0.0165,0.971686
0.0155,0.97248
0.0145,0.973291
0.0135,0.974122
0.0125,0.974975
0.0115,0.975854
0.0105,0.976764
0.0095,0.977709
0.0085,0.978696
0.0075,0.979733
0.0065,0.980831
0.0055,0.982003
0.0045,0.983271
0.0035,0.984665
0.0025,0.986238
0.0015,0.988096
0.0005,0.990518
